timestamp(ms),rx1 ,rx2 ,rx3 ,rx4 ,rx5 ,rx6 ,rx7 ,rx8 ,
"1712614904.886",,,,,,"1420","1608","1508",
"1712614904.907","1456","1068","1464","1464",,,,,
"1712614904.908",,,,,"1048","1420","1608","1508",
"1712614904.929","1460","1064","1464",,,,,,
"1712614904.93",,,,"1464","1052","1420","1604",,
"1712614904.931",,,,,,,,"1508",
"1712614904.951","1460","1068",,,,,,,
"1712614904.952",,,"1460","1468","1048","1420",,,
"1712614904.953",,,,,,,"1608","1508",
"1712614904.973","1460","1064",,,,,,,
"1712614904.974",,,"1464","1468","1048",,,,
"1712614904.975",,,,,,"1420","1604","1508",
"1712614904.995","1456",,,,,,,,
"1712614904.996",,"1068","1464","1464","1048",,,,
"1712614904.997",,,,,,"1420","1608","1508",
"1712614905.018","1456","1068","1460","1468",,,,,
"1712614905.019",,,,,"1048","1420","1608",,
"1712614905.02",,,,,,,,"1508",
"1712614905.04","1460","1068","1460",,,,,,
"1712614905.041",,,,"1468","1048","1416","1608",,
"1712614905.042",,,,,,,,"1508",
"1712614905.062","1456","1068",,,,,,,
"1712614905.063",,,"1464","1464","1048","1420",,,
"1712614905.064",,,,,,,"1604","1508",
"1712614905.084","1456",,,,,,,,
"1712614905.085",,"1068","1464","1464","1048",,,,
"1712614905.086",,,,,,"1420","1604","1508",
"1712614905.106","1460",,,,,,,,
"1712614905.107",,"1064","1464","1464",,,,,
"1712614905.108",,,,,"1048","1420","1604","1508",
"1712614905.129","1460","1064","1464","1464",,,,,
"1712614905.13",,,,,"1048","1420","1608",,
"1712614905.131",,,,,,,,"1504",
"1712614905.151","1460","1064","1464",,,,,,
"1712614905.152",,,,"1464","1052","1416",,,
"1712614905.153",,,,,,,"1608","1508",
"1712614905.173","1460","1068",,,,,,,
"1712614905.174",,,"1460","1468","1048","1420",,,
"1712614905.175",,,,,,,"1604","1508",
"1712614905.195","1460",,,,,,,,
"1712614905.196",,"1068","1464","1464","1052",,,,
"1712614905.197",,,,,,"1416","1608","1508",
"1712614905.217","1456",,,,,,,,
"1712614905.218",,"1068","1464","1464",,,,,
"1712614905.219",,,,,"1048","1420","1604","1508",
"1712614905.24","1456","1068","1464","1464",,,,,
"1712614905.241",,,,,"1048","1420","1604",,
"1712614905.242",,,,,,,,"1508",
"1712614905.262","1456","1068","1464",,,,,,
"1712614905.263",,,,"1464","1048","1420",,,
"1712614905.264",,,,,,,"1604","1508",
"1712614905.284","1456","1068",,,,,,,
"1712614905.285",,,"1464","1464","1048","1420",,,
"1712614905.286",,,,,,,"1604","1508",
"1712614905.306","1460",,,,,,,,
"1712614905.307",,"1064","1464","1464","1048",,,,
"1712614905.308",,,,,,"1420","1604","1508",
"1712614905.328","1456",,,,,,,,
"1712614905.329",,"1068","1464","1464",,,,,
"1712614905.33",,,,,"1048","1420","1604","1508",
"1712614905.351","1460","1064","1464","1464",,,,,
"1712614905.352",,,,,"1052","1416","1604",,
"1712614905.353",,,,,,,,"1512",
"1712614905.373","1460","1064","1464",,,,,,
"1712614905.374",,,,"1464","1048","1420","1608",,
"1712614905.375",,,,,,,,"1508",
"1712614905.395","1460","1068",,,,,,,
"1712614905.396",,,"1460","1468","1048","1420",,,
"1712614905.397",,,,,,,"1604","1508",
"1712614905.417","1456",,,,,,,,
"1712614905.418",,"1068","1464","1464","1048",,,,
"1712614905.419",,,,,,"1420","1604","1508",
"1712614905.439","1460",,,,,,,,
"1712614905.44",,"1064","1464","1464",,,,,
"1712614905.441",,,,,"1048","1420","1604","1508",
"1712614905.462","1460","1064","1464","1464",,,,,
"1712614905.463",,,,,"1048","1420","1608",,
"1712614905.464",,,,,,,,"1504",
"1712614905.484","1460","1064","1464",,,,,,
"1712614905.485",,,,"1464","1052","1416","1608",,
"1712614905.486",,,,,,,,"1508",
"1712614905.506","1460","1064",,,,,,,
"1712614905.507",,,"1464","1468","1048","1416",,,
"1712614905.508",,,,,,,"1608","1508",
"1712614905.528","1460","1064",,,,,,,
"1712614905.529",,,"1464","1464","1052",,,,
"1712614905.53",,,,,,"1416","1608","1508",
"1712614905.55","1460",,,,,,,,
"1712614905.551",,"1064","1464","1464",,,,,
"1712614905.552",,,,,"1052","1416","1608","1508",
"1712614905.573","1460","1068","1460","1464",,,,,
"1712614905.574",,,,,"1052","1416","1608",,
"1712614905.575",,,,,,,,"1508",
"1712614905.595","1460","1064","1464",,,,,,
"1712614905.596",,,,"1468","1048","1416","1608",,
"1712614905.597",,,,,,,,"1508",
"1712614905.617","1460","1068",,,,,,,
"1712614905.618",,,"1464","1464","1048","1420",,,
"1712614905.619",,,,,,,"1604","1508",
"1712614905.639","1460","1064",,,,,,,
"1712614905.64",,,"1464","1464","1052",,,,
"1712614905.641",,,,,,"1416","1608","1508",
"1712614905.661","1460",,,,,,,,
"1712614905.662",,"1064","1464","1464","1052",,,,
"1712614905.663",,,,,,"1416","1608","1508",
